category	ensembl_gene_id	param_name	param_val
all	ENSDARG00000030972	maternal_delay	284.060362901145
all	ENSDARG00000030972	maternal_half-life	21.2969283255584
all	ENSDARG00000036008	maternal_delay	286.114258514561
all	ENSDARG00000036008	maternal_half-life	54.3459540459918
all	ENSDARG00000018190	maternal_delay	295.491245473842
all	ENSDARG00000018190	maternal_half-life	28.2333950596246
all	ENSDARG00000103783	maternal_delay	
all	ENSDARG00000103783	maternal_half-life	
all	ENSDARG00000018319	maternal_delay	273.467691784052
all	ENSDARG00000018319	maternal_half-life	11.1449742710412
all	ENSDARG00000024828	maternal_delay	281.652195283095
all	ENSDARG00000024828	maternal_half-life	54.0861281717055
all	ENSDARG00000069619	maternal_delay	277.433459139637
all	ENSDARG00000069619	maternal_half-life	19.9135561176939
all	ENSDARG00000103589	maternal_delay	
all	ENSDARG00000103589	maternal_half-life	
all	ENSDARG00000087421	maternal_delay	261.81762654416
all	ENSDARG00000087421	maternal_half-life	29.8536576070663
all	ENSDARG00000058354	maternal_delay	276.883703987619
all	ENSDARG00000058354	maternal_half-life	56.1163666987588
all	ENSDARG00000035858	maternal_delay	240
all	ENSDARG00000035858	maternal_half-life	39.2630078166449
all	ENSDARG00000075795	maternal_delay	266.753518734128
all	ENSDARG00000075795	maternal_half-life	28.5017333263673
all	ENSDARG00000016788	maternal_delay	
all	ENSDARG00000016788	maternal_half-life	
all	ENSDARG00000053101	maternal_delay	264.739111558209
all	ENSDARG00000053101	maternal_half-life	21.4825160602838
all	ENSDARG00000038141	maternal_delay	
all	ENSDARG00000038141	maternal_half-life	
all	ENSDARG00000037965	maternal_delay	253.273752624839
all	ENSDARG00000037965	maternal_half-life	34.5943781954871
all	ENSDARG00000087954	maternal_delay	293.975492381855
all	ENSDARG00000087954	maternal_half-life	60.0614101307447
all	ENSDARG00000078904	maternal_delay	273.560118248562
all	ENSDARG00000078904	maternal_half-life	24.8916399852131
all	ENSDARG00000104024	maternal_delay	
all	ENSDARG00000104024	maternal_half-life	
all	ENSDARG00000027749	maternal_delay	253.339129818928
all	ENSDARG00000027749	maternal_half-life	13.8106344158693
all	ENSDARG00000057853	maternal_delay	263.473046154406
all	ENSDARG00000057853	maternal_half-life	79.7395156333338
all	ENSDARG00000077361	maternal_delay	277.561778112543
all	ENSDARG00000077361	maternal_half-life	25.5742812571097
all	ENSDARG00000052966	maternal_delay	291.914959058684
all	ENSDARG00000052966	maternal_half-life	57.7831100804057
all	ENSDARG00000059053	maternal_delay	
all	ENSDARG00000059053	maternal_half-life	
all	ENSDARG00000045843	maternal_delay	292.067729973731
all	ENSDARG00000045843	maternal_half-life	39.3375586856868
all	ENSDARG00000045898	maternal_delay	
all	ENSDARG00000045898	maternal_half-life	
all	ENSDARG00000070477	maternal_delay	260
all	ENSDARG00000070477	maternal_half-life	10.7135493909349
all	ENSDARG00000015966	maternal_delay	
all	ENSDARG00000015966	maternal_half-life	
all	ENSDARG00000027249	maternal_delay	
all	ENSDARG00000027249	maternal_half-life	
all	ENSDARG00000095908	maternal_delay	
all	ENSDARG00000095908	maternal_half-life	
all	ENSDARG00000015524	maternal_delay	283.611855922037
all	ENSDARG00000015524	maternal_half-life	74.3273640296855
all	ENSDARG00000035573	maternal_delay	
all	ENSDARG00000035573	maternal_half-life	
all	ENSDARG00000054540	maternal_delay	
all	ENSDARG00000054540	maternal_half-life	
all	ENSDARG00000018985	maternal_delay	285.323486587584
all	ENSDARG00000018985	maternal_half-life	21.619749265266
all	ENSDARG00000028688	maternal_delay	257.561073571086
all	ENSDARG00000028688	maternal_half-life	29.7158972530318
all	ENSDARG00000029406	maternal_delay	
all	ENSDARG00000029406	maternal_half-life	
all	ENSDARG00000077298	maternal_delay	
all	ENSDARG00000077298	maternal_half-life	
all	ENSDARG00000102320	maternal_delay	241.453822192793
all	ENSDARG00000102320	maternal_half-life	32.2825575477263
all	ENSDARG00000016345	maternal_delay	266.318035561085
all	ENSDARG00000016345	maternal_half-life	26.3404126102916
all	ENSDARG00000038577	maternal_delay	
all	ENSDARG00000038577	maternal_half-life	
all	ENSDARG00000052377	maternal_delay	281.406859796401
all	ENSDARG00000052377	maternal_half-life	18.816829637817
all	ENSDARG00000044339	maternal_delay	256.847012676601
all	ENSDARG00000044339	maternal_half-life	24.8292303813239
all	ENSDARG00000074242	maternal_delay	279.778627683158
all	ENSDARG00000074242	maternal_half-life	138.873402693272
all	ENSDARG00000098280	maternal_delay	
all	ENSDARG00000098280	maternal_half-life	
all	ENSDARG00000114670	maternal_delay	240
all	ENSDARG00000114670	maternal_half-life	55.4050851761586
all	ENSDARG00000026842	maternal_delay	278.376516929567
all	ENSDARG00000026842	maternal_half-life	2.48268036683012
all	ENSDARG00000076104	maternal_delay	
all	ENSDARG00000076104	maternal_half-life	
all	ENSDARG00000056725	maternal_delay	279.697489038531
all	ENSDARG00000056725	maternal_half-life	2.86764896540563
all	ENSDARG00000033418	maternal_delay	284.01769875147
all	ENSDARG00000033418	maternal_half-life	9.8095365564483
all	ENSDARG00000075682	maternal_delay	265.563903556133
all	ENSDARG00000075682	maternal_half-life	18.7029661382769
all	ENSDARG00000099380	maternal_delay	266.906126601462
all	ENSDARG00000099380	maternal_half-life	70.0033079190995
all	ENSDARG00000078801	maternal_delay	
all	ENSDARG00000078801	maternal_half-life	
all	ENSDARG00000036305	maternal_delay	261.000048241157
all	ENSDARG00000036305	maternal_half-life	17.1786735120705
all	ENSDARG00000105669	maternal_delay	282.178147299092
all	ENSDARG00000105669	maternal_half-life	19.2579357918875
all	ENSDARG00000007385	maternal_delay	266.343046481607
all	ENSDARG00000007385	maternal_half-life	36.4855293607995
all	ENSDARG00000035699	maternal_delay	240
all	ENSDARG00000035699	maternal_half-life	374.731175435255
all	ENSDARG00000101205	maternal_delay	273.459519010221
all	ENSDARG00000101205	maternal_half-life	19.4599433585553
all	ENSDARG00000069074	maternal_delay	278.517678477548
all	ENSDARG00000069074	maternal_half-life	29.5863712566149
all	ENSDARG00000052402	maternal_delay	308.74504124324
